epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,overall_best_prog_prefix,best_prog_of_epoch_free_const,overall_best_prog_free_const
0,0.04321196509647363,0.505524738516126,0.626081972223338,0.626081972223338,24.0,24.279,0.09152717883256184,91,89,(log((((cos(1.0)*((((z/((((z/-((((1.0*((((z)**(-1)))**(0.5))))**(-1)))))**(2))-z))+1.0))**(-1))))**(-1)))*m),(log((((cos(1.0)*((((z/((((z/-((((1.0*((((z)**(-1)))**(0.5))))**(-1)))))**(2))-z))+1.0))**(-1))))**(-1)))*m),"[mul log inv mul cos 1.0 inv add div z sub n2 div z neg inv mul 1.0 sqrt
 inv z z 1.0 m]","[mul log inv mul cos 1.0 inv add div z sub n2 div z neg inv mul 1.0 sqrt
 inv z z 1.0 m]",[ 1.         79.25878615],[ 1.         79.25878615]
1,0.03675516824793811,0.5025253169416731,0.626081972223338,0.5025253169416734,18.0,24.139,-0.03875078033065498,78,75,((cos(-((z/(-((1.0*(-(z)*1.0)))+z))))/((m)**(-1)))-m),(log((((cos(1.0)*((((z/((((z/-((((1.0*((((z)**(-1)))**(0.5))))**(-1)))))**(2))-z))+1.0))**(-1))))**(-1)))*m),[sub div cos neg div z add neg mul 1.0 mul neg z 1.0 z inv m m],"[mul log inv mul cos 1.0 inv add div z sub n2 div z neg inv mul 1.0 sqrt
 inv z z 1.0 m]",[   1.        -367.0330557],[ 1.         79.25878615]
2,0.03794871280907496,0.5027271751394871,0.626081972223338,0.5126182268323672,18.0,24.037,-0.031249298180676323,80,76,(((z*(((sin((exp(((1.0)**(0.5)))+log(((1.0)**(-1)))))/(1.0/(m*z))))**(-1))))**(-1)),(log((((cos(1.0)*((((z/((((z/-((((1.0*((((z)**(-1)))**(0.5))))**(-1)))))**(2))-z))+1.0))**(-1))))**(-1)))*m),[inv mul z inv div sin add exp sqrt 1.0 log inv 1.0 div 1.0 mul m z],"[mul log inv mul cos 1.0 inv add div z sub n2 div z neg inv mul 1.0 sqrt
 inv z z 1.0 m]",[  1.         112.15983601],[ 1.         79.25878615]
3,0.040906990069284235,0.5027573211281665,0.626081972223338,0.5141255262663382,17.0,23.857,-0.030726573870424267,86,84,(cos(exp(((z-(((((-(1.0)/((((((z)**(-1)))**(2)))**(-1))))**(0.5)))**(-1)))/z)))*m),(log((((cos(1.0)*((((z/((((z/-((((1.0*((((z)**(-1)))**(0.5))))**(-1)))))**(2))-z))+1.0))**(-1))))**(-1)))*m),[mul cos exp div sub z inv sqrt div neg 1.0 inv n2 inv z z m],"[mul log inv mul cos 1.0 inv add div z sub n2 div z neg inv mul 1.0 sqrt
 inv z z 1.0 m]",[  1.         100.96762921],[ 1.         79.25878615]
4,0.04193791534450921,0.5025320613089008,0.626081972223338,0.5028625353030499,21.0,23.745,-0.037412305852211045,92,86,(-((log(cos(((exp(((((v+((-((((((v*v))**(-1)))**(0.5))))**(-1)))/v))**(2))))**(-1))))*m))+m),(log((((cos(1.0)*((((z/((((z/-((((1.0*((((z)**(-1)))**(0.5))))**(-1)))))**(2))-z))+1.0))**(-1))))**(-1)))*m),[add neg mul log cos inv exp n2 div add v inv neg sqrt inv mul v v v m m],"[mul log inv mul cos 1.0 inv add div z sub n2 div z neg inv mul 1.0 sqrt
 inv z z 1.0 m]",[ 1.      34.18934],[ 1.         79.25878615]
5,0.04888334401919041,0.5025253169416731,0.626081972223338,0.5025253169416734,21.0,23.559,-0.03838644505549097,100,99,(((((((((cos(-((log((m/m))+log(1.0))))+1.0)*(m/((m)**(0.5)))))**(-1)))**(2)))**(-1))+m),(log((((cos(1.0)*((((z/((((z/-((((1.0*((((z)**(-1)))**(0.5))))**(-1)))))**(2))-z))+1.0))**(-1))))**(-1)))*m),[add inv n2 inv mul add cos neg add log div m m log 1.0 1.0 div m sqrt m m],"[mul log inv mul cos 1.0 inv add div z sub n2 div z neg inv mul 1.0 sqrt
 inv z z 1.0 m]",[1.         8.98624928],[ 1.         79.25878615]
6,0.04919780498858112,0.5025253169416731,0.626081972223338,0.5025253169416734,15.0,23.531,-0.03742340962977201,104,101,((((sin(1.0)/(m-(-(((-(((m)**(2))))**(0.5)))+m))))**(-1))-m),(log((((cos(1.0)*((((z/((((z/-((((1.0*((((z)**(-1)))**(0.5))))**(-1)))))**(2))-z))+1.0))**(-1))))**(-1)))*m),[sub inv div sin 1.0 sub m add neg sqrt neg n2 m m m],"[mul log inv mul cos 1.0 inv add div z sub n2 div z neg inv mul 1.0 sqrt
 inv z z 1.0 m]",[  1.         238.49476448],[ 1.         79.25878615]
7,0.03974027299366799,0.5025253169416731,0.626081972223338,0.5025253169416734,19.0,23.638,-0.03797536186666199,82,80,((cos(((exp(((v/1.0)/(v--(v)))))**(-1)))*((m+m)+m))+m),(log((((cos(1.0)*((((z/((((z/-((((1.0*((((z)**(-1)))**(0.5))))**(-1)))))**(2))-z))+1.0))**(-1))))**(-1)))*m),[add mul cos inv exp div div v 1.0 sub v neg v add add m m m m],"[mul log inv mul cos 1.0 inv add div z sub n2 div z neg inv mul 1.0 sqrt
 inv z z 1.0 m]",[ 1.         12.96757613],[ 1.         79.25878615]
8,0.04041625086070936,0.5025253169416731,0.626081972223338,0.5025253169416734,18.0,23.725,-0.038045362060346026,82,82,(log(-((sin((exp(((-((1.0/1.0))-1.0)*1.0))/1.0))+1.0)))*m),(log((((cos(1.0)*((((z/((((z/-((((1.0*((((z)**(-1)))**(0.5))))**(-1)))))**(2))-z))+1.0))**(-1))))**(-1)))*m),[mul log neg add sin div exp mul sub neg div 1.0 1.0 1.0 1.0 1.0 1.0 m],"[mul log inv mul cos 1.0 inv add div z sub n2 div z neg inv mul 1.0 sqrt
 inv z z 1.0 m]",[  1.         355.00699203],[ 1.         79.25878615]
9,0.045181410928762954,0.5025253169416731,0.626081972223338,0.5025253169416734,16.0,23.698,-0.03841004277464048,96,93,(m/((((cos((((exp((((((((z)**(-1))/((z)**(-1))))**(2)))**(-1)))+1.0))**(2))))**(2)))**(2))),(log((((cos(1.0)*((((z/((((z/-((((1.0*((((z)**(-1)))**(0.5))))**(-1)))))**(2))-z))+1.0))**(-1))))**(-1)))*m),[div m n2 n2 cos n2 add exp inv n2 div inv z inv z 1.0],"[mul log inv mul cos 1.0 inv add div z sub n2 div z neg inv mul 1.0 sqrt
 inv z z 1.0 m]",[1.         0.39668893],[ 1.         79.25878615]
